CMDLINE /Users/pawelkulig/Desktop/Python/spintronics-visual/venv/bin/python3.6 main.py
MEM 288.312500 1523421618.7898
MEM 288.312500 1523421618.9026
MEM 288.312500 1523421619.0152
MEM 288.312500 1523421619.1281
MEM 288.312500 1523421619.2402
MEM 288.312500 1523421619.3530
MEM 288.312500 1523421619.4697
MEM 288.312500 1523421619.5847
MEM 288.320312 1523421619.6995
MEM 288.320312 1523421619.8121
MEM 288.320312 1523421619.9250
MEM 288.320312 1523421620.0419
MEM 288.539062 1523421620.1570
MEM 288.816406 1523421620.2715
MEM 292.035156 1523421620.3827
MEM 292.035156 1523421620.4969
MEM 292.035156 1523421620.6091
MEM 292.035156 1523421620.7215
MEM 292.035156 1523421620.8338
MEM 292.035156 1523421620.9469
MEM 292.035156 1523421621.0588
MEM 292.035156 1523421621.1716
MEM 292.074219 1523421621.2885
MEM 296.250000 1523421621.4026
MEM 297.683594 1523421621.5181
MEM 297.687500 1523421621.6308
MEM 298.734375 1523421621.7419
MEM 300.039062 1523421621.8564
MEM 302.117188 1523421621.9687
MEM 302.121094 1523421622.0820
MEM 302.121094 1523421622.1997
MEM 304.593750 1523421622.3176
MEM 307.296875 1523421622.4270
MEM 307.535156 1523421622.5373
MEM 301.867188 1523421622.6473
MEM 277.335938 1523421622.7639
MEM 292.535156 1523421622.8768
MEM 292.796875 1523421622.9907
MEM 292.796875 1523421623.1074
MEM 292.796875 1523421623.2242
MEM 292.796875 1523421623.3370
MEM 292.804688 1523421623.4497
MEM 292.804688 1523421623.5677
MEM 292.804688 1523421623.6843
MEM 292.804688 1523421623.7963
MEM 292.804688 1523421623.9087
MEM 292.804688 1523421624.0208
MEM 292.804688 1523421624.1337
MEM 279.359375 1523421624.2453
MEM 318.164062 1523421624.3579
CHLD 0 10.144531 1523421624.3632
CHLD 1 9.882812 1523421624.3633
CHLD 2 9.968750 1523421624.3633
CHLD 3 10.011719 1523421624.3633
MEM 447.785156 1523421624.4728
CHLD 0 41.800781 1523421624.4780
CHLD 1 41.707031 1523421624.4781
CHLD 2 41.656250 1523421624.4781
CHLD 3 41.929688 1523421624.4781
MEM 451.496094 1523421624.5841
CHLD 0 41.828125 1523421624.5897
CHLD 1 41.734375 1523421624.5897
CHLD 2 41.812500 1523421624.5897
CHLD 3 42.011719 1523421624.5897
MEM 454.750000 1523421624.6993
CHLD 0 41.914062 1523421624.7046
CHLD 1 41.910156 1523421624.7047
CHLD 2 41.917969 1523421624.7047
CHLD 3 42.062500 1523421624.7047
MEM 457.691406 1523421624.8126
CHLD 0 41.933594 1523421624.8177
CHLD 1 41.917969 1523421624.8177
CHLD 2 41.941406 1523421624.8178
CHLD 3 42.128906 1523421624.8178
MEM 460.941406 1523421624.9268
CHLD 0 41.957031 1523421624.9321
CHLD 1 41.917969 1523421624.9322
CHLD 2 41.992188 1523421624.9322
CHLD 3 42.132812 1523421624.9322
MEM 464.171875 1523421625.0380
CHLD 0 41.957031 1523421625.0431
CHLD 1 41.917969 1523421625.0431
CHLD 2 41.996094 1523421625.0431
CHLD 3 42.183594 1523421625.0431
MEM 467.144531 1523421625.1486
CHLD 0 41.964844 1523421625.1538
CHLD 1 41.917969 1523421625.1539
CHLD 2 42.031250 1523421625.1539
CHLD 3 42.183594 1523421625.1539
MEM 470.789062 1523421625.2637
CHLD 0 41.964844 1523421625.2687
CHLD 1 41.917969 1523421625.2687
CHLD 2 42.031250 1523421625.2688
CHLD 3 42.183594 1523421625.2688
MEM 473.945312 1523421625.3758
CHLD 0 41.964844 1523421625.3811
CHLD 1 41.917969 1523421625.3811
CHLD 2 42.031250 1523421625.3811
CHLD 3 42.238281 1523421625.3812
MEM 476.980469 1523421625.4951
CHLD 0 41.964844 1523421625.5002
CHLD 1 41.972656 1523421625.5002
CHLD 2 42.031250 1523421625.5002
CHLD 3 42.238281 1523421625.5002
MEM 480.347656 1523421625.6070
CHLD 0 42.015625 1523421625.6169
CHLD 1 42.027344 1523421625.6169
CHLD 2 42.031250 1523421625.6169
CHLD 3 42.238281 1523421625.6169
MEM 484.375000 1523421625.7250
CHLD 0 42.015625 1523421625.7302
CHLD 1 42.027344 1523421625.7302
CHLD 2 42.085938 1523421625.7302
CHLD 3 42.261719 1523421625.7303
MEM 487.406250 1523421625.8360
CHLD 0 42.015625 1523421625.8422
CHLD 1 42.027344 1523421625.8422
CHLD 2 42.085938 1523421625.8422
CHLD 3 42.261719 1523421625.8422
MEM 490.234375 1523421625.9485
CHLD 0 42.015625 1523421625.9537
CHLD 1 42.027344 1523421625.9537
CHLD 2 42.089844 1523421625.9537
CHLD 3 42.261719 1523421625.9538
MEM 493.695312 1523421626.0640
CHLD 0 42.019531 1523421626.0691
CHLD 1 42.027344 1523421626.0691
CHLD 2 42.089844 1523421626.0692
CHLD 3 42.261719 1523421626.0692
MEM 497.062500 1523421626.1785
CHLD 0 42.023438 1523421626.1835
CHLD 1 42.027344 1523421626.1835
CHLD 2 42.136719 1523421626.1835
CHLD 3 42.261719 1523421626.1835
MEM 500.414062 1523421626.2891
CHLD 0 42.023438 1523421626.2947
CHLD 1 42.062500 1523421626.2947
CHLD 2 42.136719 1523421626.2947
CHLD 3 42.261719 1523421626.2947
MEM 503.656250 1523421626.4046
CHLD 0 42.023438 1523421626.4100
CHLD 1 42.062500 1523421626.4100
CHLD 2 42.136719 1523421626.4101
CHLD 3 42.261719 1523421626.4101
