CMDLINE /Users/pawelkulig/Desktop/Python/spintronics-visual/venv/bin/python3.6 main.py
MEM 530.445312 1523376561.0164
MEM 530.445312 1523376561.1270
MEM 530.445312 1523376561.2357
MEM 530.445312 1523376561.3440
MEM 530.445312 1523376561.4564
MEM 530.445312 1523376561.5687
MEM 530.445312 1523376561.6776
MEM 530.445312 1523376561.7886
MEM 530.445312 1523376561.9006
MEM 530.445312 1523376562.0118
MEM 530.445312 1523376562.1200
MEM 530.445312 1523376562.2291
MEM 530.445312 1523376562.3405
MEM 530.445312 1523376562.4504
MEM 530.445312 1523376562.5578
MEM 515.449219 1523376562.6634
MEM 530.453125 1523376562.7702
MEM 530.453125 1523376562.8795
MEM 530.453125 1523376562.9878
MEM 530.453125 1523376563.0998
MEM 530.453125 1523376563.2080
MEM 530.453125 1523376563.3166
MEM 530.453125 1523376563.4272
MEM 530.570312 1523376563.5373
MEM 528.027344 1523376563.6435
MEM 544.570312 1523376563.7547
MEM 544.570312 1523376563.8676
MEM 544.570312 1523376563.9775
MEM 544.570312 1523376564.0857
MEM 544.570312 1523376564.1977
MEM 544.570312 1523376564.3104
MEM 544.570312 1523376564.4217
MEM 544.570312 1523376564.5331
MEM 544.570312 1523376564.6446
MEM 544.570312 1523376564.7554
MEM 544.570312 1523376564.8676
MEM 544.843750 1523376564.9792
MEM 544.843750 1523376565.0914
MEM 544.843750 1523376565.2030
MEM 544.843750 1523376565.3145
MEM 544.910156 1523376565.4231
MEM 544.910156 1523376565.5339
MEM 544.910156 1523376565.6462
MEM 545.042969 1523376565.7540
MEM 545.042969 1523376565.8664
MEM 545.042969 1523376565.9768
MEM 545.042969 1523376566.0872
MEM 545.109375 1523376566.1961
MEM 545.109375 1523376566.3036
MEM 545.109375 1523376566.4140
MEM 545.109375 1523376566.5249
MEM 545.109375 1523376566.6344
MEM 545.144531 1523376566.7452
MEM 535.449219 1523376566.8498
MEM 540.070312 1523376566.9590
MEM 509.421875 1523376567.0674
MEM 509.421875 1523376567.1749
MEM 509.421875 1523376567.2865
MEM 509.421875 1523376567.3945
MEM 509.421875 1523376567.5049
MEM 509.421875 1523376567.6136
MEM 509.421875 1523376567.7246
MEM 509.421875 1523376567.8360
MEM 509.464844 1523376567.9452
MEM 509.835938 1523376568.0515
MEM 514.324219 1523376568.1610
MEM 513.941406 1523376568.2676
MEM 566.265625 1523376568.3736
MEM 587.820312 1523376568.4802
MEM 640.898438 1523376568.5895
MEM 640.898438 1523376568.6975
MEM 640.898438 1523376568.8071
MEM 640.898438 1523376568.9189
MEM 640.898438 1523376569.0308
MEM 640.898438 1523376569.1400
MEM 640.898438 1523376569.2506
MEM 640.898438 1523376569.3607
MEM 640.898438 1523376569.4725
MEM 640.898438 1523376569.5838
MEM 640.906250 1523376569.6931
MEM 640.910156 1523376569.8049
MEM 640.910156 1523376569.9117
MEM 640.910156 1523376570.0202
MEM 640.910156 1523376570.1287
MEM 641.367188 1523376570.2351
MEM 611.796875 1523376570.3461
MEM 611.796875 1523376570.4565
MEM 611.882812 1523376570.5653
MEM 611.945312 1523376570.6766
MEM 611.945312 1523376570.7879
MEM 611.945312 1523376570.8990
MEM 611.945312 1523376571.0072
MEM 611.945312 1523376571.1151
MEM 611.945312 1523376571.2220
MEM 611.949219 1523376571.3328
MEM 611.949219 1523376571.4416
MEM 603.812500 1523376571.5515
MEM 619.464844 1523376571.6635
MEM 619.464844 1523376571.7722
MEM 619.468750 1523376571.8802
MEM 619.468750 1523376571.9912
MEM 619.468750 1523376572.1036
MEM 619.617188 1523376572.2139
MEM 619.617188 1523376572.3213
MEM 619.617188 1523376572.4309
MEM 619.617188 1523376572.5380
MEM 619.617188 1523376572.6455
MEM 619.617188 1523376572.7555
MEM 633.015625 1523376572.8618
MEM 645.339844 1523376572.9682
MEM 640.925781 1523376573.0776
MEM 643.589844 1523376573.1833
MEM 656.835938 1523376573.2910
MEM 670.082031 1523376573.3983
MEM 683.324219 1523376573.5067
MEM 696.574219 1523376573.6154
MEM 709.816406 1523376573.7248
MEM 716.789062 1523376573.8298
MEM 723.066406 1523376573.9386
MEM 736.308594 1523376574.0463
MEM 749.546875 1523376574.1577
MEM 762.792969 1523376574.2665
MEM 776.031250 1523376574.3791
MEM 789.277344 1523376574.4851
MEM 802.472656 1523376574.5939
MEM 813.011719 1523376574.7026
MEM 815.683594 1523376574.8077
MEM 815.687500 1523376574.9172
MEM 815.687500 1523376575.0290
MEM 815.703125 1523376575.1395
MEM 815.710938 1523376575.2479
MEM 815.718750 1523376575.3556
MEM 813.058594 1523376575.4660
MEM 809.730469 1523376575.5763
MEM 815.718750 1523376575.6853
MEM 815.726562 1523376575.7917
MEM 815.726562 1523376575.9004
MEM 815.730469 1523376576.0102
MEM 815.734375 1523376576.1240
MEM 815.734375 1523376576.2332
MEM 815.738281 1523376576.3394
MEM 813.082031 1523376576.4488
MEM 815.750000 1523376576.5576
MEM 815.753906 1523376576.6660
MEM 815.757812 1523376576.7748
MEM 815.769531 1523376576.8840
MEM 815.777344 1523376576.9966
MEM 815.781250 1523376577.1051
