CMDLINE /Users/pawelkulig/Desktop/Python/spintronics-visual/venv/bin/python3.6 main.py
MEM 302.609375 1523421373.2622
MEM 302.609375 1523421373.3739
MEM 302.609375 1523421373.4805
MEM 302.636719 1523421373.5895
MEM 302.945312 1523421373.6968
MEM 299.187500 1523421373.8029
MEM 281.066406 1523421373.9105
MEM 290.156250 1523421374.0201
MEM 290.414062 1523421374.1317
MEM 290.414062 1523421374.2436
MEM 290.414062 1523421374.3499
MEM 290.414062 1523421374.4615
MEM 290.421875 1523421374.5731
MEM 290.421875 1523421374.6795
MEM 290.421875 1523421374.7859
MEM 290.421875 1523421374.8963
MEM 290.421875 1523421375.0027
MEM 290.421875 1523421375.1143
MEM 290.421875 1523421375.2259
MEM 290.421875 1523421375.3379
MEM 277.027344 1523421375.4468
MEM 289.828125 1523421375.5624
MEM 316.621094 1523421375.6720
MEM 367.730469 1523421375.7939
MEM 492.039062 1523421375.9010
MEM 519.570312 1523421376.0097
MEM 548.472656 1523421376.1159
MEM 574.765625 1523421376.2229
MEM 599.535156 1523421376.3304
MEM 631.640625 1523421376.4430
MEM 654.792969 1523421376.5491
MEM 676.031250 1523421376.6570
MEM 614.042969 1523421376.7682
MEM 681.835938 1523421376.8747
MEM 702.925781 1523421376.9825
MEM 734.593750 1523421377.0883
MEM 761.195312 1523421377.1988
MEM 789.578125 1523421377.3061
MEM 823.421875 1523421377.4160
MEM 849.878906 1523421377.5228
MEM 852.675781 1523421377.6324
MEM 626.175781 1523421377.7437
MEM 711.402344 1523421377.8496
MEM 742.894531 1523421377.9572
MEM 776.402344 1523421378.0675
MEM 807.968750 1523421378.1778
MEM 842.632812 1523421378.2881
MEM 873.277344 1523421378.3937
MEM 884.359375 1523421378.4994
MEM 738.992188 1523421378.6087
MEM 736.113281 1523421378.7189
MEM 767.425781 1523421378.8243
MEM 802.320312 1523421378.9310
MEM 831.433594 1523421379.0413
MEM 865.925781 1523421379.1503
MEM 898.859375 1523421379.2575
MEM 917.695312 1523421379.3676
MEM 840.914062 1523421379.4744
MEM 759.164062 1523421379.5811
MEM 798.031250 1523421379.6914
MEM 832.929688 1523421379.8006
MEM 861.628906 1523421379.9107
MEM 893.312500 1523421380.0166
MEM 926.695312 1523421380.1268
MEM 950.753906 1523421380.2354
